customer_id,task_title,budget,task_desc,due_date,creation_date,certification_required,expertise_area
12,Build a garden shed,1500,Construct a garden shed in my backyard.,10-05-24 12:00,26-09-23 8:00,1,Landscaping
45,Install new plumbing,2000,Need to replace old pipes in the kitchen.,15-03-24 9:00,20-09-23 9:00,1,Plumbing
67,Electricity upgrade,1800,Upgrade electrical system for safety.,30-01-24 14:00,15-09-23 12:00,1,Electrical
23,House painting,1200,Paint the interior of the house.,10-02-24 10:00,18-09-23 11:00,0,Painting
38,Create a backyard patio,2500,Install a stone patio in my backyard.,25-04-24 13:30,22-09-23 15:00,1,Landscaping
92,Garden landscaping,900,Design and implement a garden layout.,05-06-24 10:30,30-09-23 10:30,1,Landscaping
54,Home electrical repair,400,Fix flickering lights in living room.,15-10-23 8:00,21-09-23 10:00,0,Electrical
33,Install security system,700,Need help installing a new security system.,01-11-23 14:00,23-09-23 15:00,1,Electrical
19,New roof installation,5000,Replace the entire roof of the house.,01-04-24 12:00,14-09-23 9:00,1,Construction
76,Clean gutters,250,Need someone to clean my gutters.,20-10-23 16:00,17-09-23 10:00,0,Cleaning
1,Install new windows,3000,Replace old windows with new ones.,01-03-24 10:00,28-09-23 10:00,1,Construction
68,Make a custom shelf,500,Build a shelf for my living room.,10-01-24 11:00,29-09-23 9:00,0,Carpentry
99,Design an office space,800,Need help designing my home office.,15-02-24 13:00,11-09-23 8:00,0,Interior Design
20,Carpet installation,1200,Install new carpet in living room.,25-10-23 10:30,16-09-23 15:00,1,Flooring
12,Build a fence,1500,Construct a wooden fence around my yard.,15-05-24 12:00,26-09-23 8:00,1,Construction
45,Install bathroom tiles,1000,Need tiles installed in my bathroom.,20-03-24 9:00,20-09-23 9:00,1,Tiling
67,Air conditioning installation,2500,Install new AC unit in my home.,20-01-24 14:00,15-09-23 12:00,1,HVAC
23,Assemble furniture,150,Need help assembling a large desk.,05-02-24 10:00,18-09-23 11:00,0,Carpentry
38,Repair fence,300,Fix the broken fence in my yard.,30-04-24 13:30,22-09-23 15:00,0,Construction
92,Paint exterior,2000,Need to paint the outside of my house.,10-06-24 10:30,30-09-23 10:30,1,Painting
54,Install ceiling fan,400,Install a ceiling fan in the living room.,15-10-23 8:00,21-09-23 10:00,1,Electrical
33,Install drywall,1500,Need drywall installation for my new room.,01-11-23 14:00,23-09-23 15:00,1,Construction
19,Flooring replacement,2000,Replace old flooring with new.,01-04-24 12:00,14-09-23 9:00,1,Flooring
